"convid","cm","client","subject","open","accepted","updated","created"
991,28,533,"New Convo 2016-07-21 at 00:30:34.717",FALSE,TRUE,"2016-07-21 00:34:17.202521+00","2016-07-21 00:32:12.127826+00"
1325,28,100,"Missed UA",FALSE,TRUE,"2016-08-04 15:13:17.066259+00","2016-08-04 15:13:13.732714+00"
1381,63,475,"New Conversation on 08/05",FALSE,TRUE,"2016-08-08 13:49:29.406691+00","2016-08-05 18:48:20.698966+00"
1118,16,163,"Captured Conversation",FALSE,TRUE,"2016-08-04 16:38:51.155538+00","2016-07-28 18:36:10.05146+00"
1320,54,660,"New Conversation on 08/04",TRUE,TRUE,"2016-08-04 15:41:08.109285+00","2016-08-04 14:23:04.703572+00"
1236,73,631,"New Conversation on 08/01",FALSE,TRUE,"2016-08-04 17:20:58.502008+00","2016-08-01 17:35:33.622881+00"
1346,73,674,"New Conversation on 08/04",TRUE,TRUE,"2016-08-04 19:35:53.874717+00","2016-08-04 19:35:53.874717+00"
1347,22,675,"New Conversation on 08/04",FALSE,TRUE,"2016-08-04 19:44:38.014167+00","2016-08-04 19:44:14.319972+00"
1245,71,616,"Testing",FALSE,TRUE,"2016-08-19 23:22:14.824143+00","2016-08-01 19:20:39.594439+00"
1349,71,676,"Testing",FALSE,TRUE,"2016-08-04 20:59:45.876728+00","2016-08-04 20:59:45.876728+00"
1350,71,676,"Testing",FALSE,TRUE,"2016-08-04 20:59:51.894887+00","2016-08-04 20:59:51.894887+00"
1319,63,332,"Warrant",FALSE,TRUE,"2016-08-04 22:18:53.729141+00","2016-08-04 13:44:08.441332+00"
1343,73,672,"New Conversation on 08/04",FALSE,TRUE,"2016-08-05 15:22:00.073379+00","2016-08-04 19:31:21.284809+00"
1278,67,649,"New Conversation on 08/02",FALSE,TRUE,"2016-08-02 16:52:22.15914+00","2016-08-02 16:52:22.15914+00"
1037,28,531,"New Convo 2016-07-26 at 18:56:33.211",FALSE,TRUE,"2016-07-26 19:19:17.820915+00","2016-07-26 18:58:18.106077+00"
1382,73,682,"Appointment reminder",TRUE,TRUE,"2016-08-05 19:07:00.838602+00","2016-08-05 19:07:00.838602+00"
1383,73,683,"Appointment reminder",TRUE,TRUE,"2016-08-05 19:09:40.649557+00","2016-08-05 19:09:40.649557+00"
1384,73,684,"Appointment reminder",TRUE,TRUE,"2016-08-05 19:12:26.04903+00","2016-08-05 19:12:26.04903+00"
